Name,About,Url_image,Adapts Well To Apartment Living,Good For Novice Owners,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,Adaptability,Affectionate With Family,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,All Around Friendliness,Amount Of Shedding,Drooling Potential,Easy To Groom,General Health,Potential For Weight Gain,Size,Health And Grooming Needs,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,Trainability,Energy Level,Intensity,Exercise Needs,Potential For Playfulness,Physical Needs,Dog Breed Group,Height,Weight,Life Span
Afador,"The Afador is a mixed breed dog–a cross between the Afghan Hound and Labrador Retriever dog breeds. Loyal, energetic, and affectionate, these pups inherited some of the best qualities from both of their parents. Afadors are also sometimes known as the Afghan Lab . You can find these mixed breed dogs in shelters and breed specific rescues, so remember to always adopt! Don’t shop if you’re looking to add an Afador to your home! Afadors make excellent family pets, although they do better with older children and seasoned dog owners who can give the breed the training and attention they require. Afadors also make for good guard dogs, and they’re alert to strangers. The mixed breed is very energetic and athletic, so access to a safe outdoor space is preferred.",https://cdn2-www.dogtime.com/assets/uploads/2019/08/afador-mixed-dog-breed-pictures-cover.jpg,1,1,3,3,4,2,2,4,2,3,1,3,4,3,2,3,4,4,3,1,5,4,4,4,4,4,4,4,4,3,4,Mixed Breed Dogs,62.23,28.35,11.0
Bassador,"The Bassador is a mixed breed dog–a cross between the Basset Hound and the Labrador Retriever dog breeds. Loyal, sometimes stubborn, and always sniffing around, these pups inherited some of the best traits from both of their parents. Bassadors go by several names, including Basset Lab, Basador, and sometimes even Bassetdor. Despite their unfortunate status as a designer breed, you can find these mixed-breed dogs in shelters and breed specific rescues, so remember to adopt! Don’t shop! Bassadors come from two very different parents, so their perfect living situation will depend on the individual dog. In general, Bassadors love attention, especially from their favorite person, and will need to live in a place with plenty of space to roam. If you want a dog with a very unique look who’s loyal to a fault, the Bassador could be the dog for you!",https://cdn3-www.dogtime.com/assets/uploads/2019/07/bassador-mixed-breed-dog-pictures-cover.jpg,2,2,3,3,4,4,3,3,3,3,3,3,5,4,3,3,3,4,4,2,3,2,4,3,3,3,3,2,4,3,3,Mixed Breed Dogs,41.91,26.08,11.0
Bavarian Mountain Scent Hound,"The Bavarian Mountain Scent Hound is a purebred dog originally from Germany. These pups are loyal, intelligent, and reserved, which are some of the best qualities for a Hound dog breed. The Bavarian Mountain Scent Hound goes by a few other names, including Bavarian Mountain Scenthound and Bayerischer Gebirgsschwei. Despite being a very rare breed, you can try and find these adorable pooches in local shelters or breed specific rescues, so remember to adopt! Don’t shop! These reserved pups are very loyal to their pet parents and would fit great with families with children or larger households. They are a quiet breed but are very wary towards strangers or anyone theydon’t know approaching them or their humans. If you want a loyal pup who likes to be active and will love you unconditionally, the Bavarian Mountain Scent Hound may be the right dog for you!",https://cdn3-www.dogtime.com/assets/uploads/2019/09/Bavarian-Mountain-Scent-Hound-dog-breed-pictures-cover.jpg,2,3,2,2,2,3,2,5,4,3,2,4,1,2,3,4,2,3,3,3,4,2,4,2,2,3,4,2,4,4,4,Hound Dogs,46.99,22.45,12.0
Basset Retriever,"The Basset Retriever is a mixed breed dog–a cross between the Basset Hound and Golden Retriever dog breeds. Friendly, affectionate, and intelligent, these pups inherited some of the best qualities from both of their parents. You can find these mixed breed dogs in shelters and breed specific rescues, so remember to always adopt! Don’t shop if you’re looking to add one of these pups to your home! The Basset Retriever is a great family dog with a mild-mannered disposition, a willingness to please, and a loving and devoted nature. The mixed breed is extra friendly and gets along well with children, although due their hunting heritage, they will require a high amount of exercise to stay healthy and happy. These dogs do best with active and busy families.",https://cdn2-www.dogtime.com/assets/uploads/2019/11/basset-retriever-mixed-dog-breed-pictures-cover.jpg,3,3,2,2,4,4,3,4,4,3,4,4,2,2,4,4,4,3,3,4,5,3,5,2,4,4,4,2,4,4,4,Mixed Breed Dogs,30.48,24.95,11.0
Beabull,"The Beabull is a mixed breed dog–a cross between the Beagle and the English Bulldog breeds. Loyal, curious, and loving, these pups inherited some of the best qualities from both of their parents. The Beabull doesn’t go by many other names, though some people might just call them Beagle-Bulldog mixes. These wonderful pups are unfortunately considered a designer breed. However, you may find this mixed breed in shelters and breed specific rescues. So remember to adopt! Don’t shop! These cute pups are quite versatile and can adapt to both apartment living or a home with a backyard to run in. Though their short, stout body types may lead you to believe they are lazy, these dogs will get bursts of energy and enjoy a game of fetch or a trip to the dog park. The Beabull bonds well with their owner and every member of the family, and they’re fit for either single- or mutli-person family households. These loving pups are protective and playful, and they can be the perfect companion for you!",https://cdn3-www.dogtime.com/assets/uploads/2019/12/beabull-mixed-dog-breed-pictures-cover.jpg,4,3,4,4,2,2,3,5,5,4,3,4,4,3,5,3,4,3,4,3,3,4,4,4,4,4,3,4,3,5,4,Mixed Breed Dogs,35.56,20.41,11.5
Barbet,This woolly sporting dog breed is fun-loving and smart. The Barbet was bred for retrieving waterfowl for hunters—and has the webbed feet to prove it—but they’re also a talented agility competitor in their native France.,https://cdn1-www.dogtime.com/assets/uploads/2011/01/file_23288_barbet-460x290.jpg,3,2,3,1,4,4,3,5,4,4,3,4,2,1,1,4,3,3,2,4,4,2,3,3,3,3,5,3,3,4,4,Sporting Dogs,11.43,22.45,14.0
Basenji,"Out of Africa, the Basenji dog breed was originally found in the Congo. These dogs use both scent and sight to hunt and were originally used to flush small game into hunters’ nets and to control village rodent populations. These days, they also make for great, loving, furry family members. Although they’re purebred dogs, you may find Basenjis in shelters or in the care of rescue groups. If this is the breed for you, opt to adopt if possible! Clever and endearing, these dogs are good companions for the person or family who can stay a step ahead of them. They can adapt to apartment living, and even novice pet parents will find these pups to be great first-timer dogs. Just make sure you can provide enough exercise to meet their high energy levels. You’ll need to commit to plenty of walks and playtime. DogTime recommends this dog bed to give a good night’s sleep to your medium-sized Basenji. You should also pick up this dog brush and massager for your short-haired pup! See all Basenji dog breed facts and characteristics below! More articles that will interest you:",https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23008_basenji-460x290.jpg,5,4,3,4,1,4,4,5,5,4,5,5,1,5,5,2,2,2,3,1,4,5,5,1,5,4,5,1,5,2,3,Hound Dogs,41.91,10.43,11.0
Basset Fauve de Bretagne,"The Basset Fauve de Bretagne is a purebred dog from France. These pups are intelligent, friendly, and active, which are great qualities for a hound dog. The Basset Fauve de Bretagne also goes by the name Fawn Brittany Basset . If you so happen to want to bring one of these cute and adorable pooches into your home and family, then make sure to check breed specific rescues or your local shelter. Remember, it’s always best to adopt, not shop! These adorable pups make great apartment dogs due to their size, and they also make great companions for any household type, from singles to large families with children. They might, however, chase after smaller animals or cats in the household. If you want a friendly, intelligent dog who will keep you on your toes, be a great companion, and love you unconditionally, then the Basset Fauve de Bretagne might be the right pooch for you!",https://cdn3-www.dogtime.com/assets/uploads/2019/09/Basset-Fauve-de-Bretagne-dog-breed-pictures-cover.jpg,4,4,3,3,3,1,3,5,4,4,3,4,2,1,4,5,1,2,3,3,5,3,3,2,1,3,4,2,4,3,3,Hound Dogs,34.29,13.61,13.5
Australian Terrier,"The Australian Terrier was developed in Australia, as their name implies. Bred to hunt rodents and snakes, Australian Terriers were also prized as watchdogs and companions. Today, the breed maintains those same traits: they’re delightful companions, fierce earthdog competitors, and conformation and obedience showdogs. Even though these are purebred dogs, some may still end up in the care of shelters or rescues. Opt to adopt if this is the breed for you. Australian Terriers have high energy and need plenty of exercise. But their compact size and low-shedding, low-maintenance coat make them a good choice for active apartment dwellers. If you’re looking for a watchdog, this breed’s loyalty and tendency to alert their humans when something is out of the ordinary may be just what you’re looking for. Meet the breed’s needs and you’ll have a loving and dedicated little best friend for life. DogTime recommends this carrier for traveling with your small Australian Terrier. You should also pick up this puzzle toy to keep your pup active indoors! See all Australian Terrier dog breed facts and characteristics below! More articles that will interest you:",https://cdn3-www.dogtime.com/assets/uploads/2011/01/file_23054_australian-terrier-460x290.jpg,5,3,2,2,3,4,3,4,3,2,3,3,1,1,5,5,3,1,3,3,4,1,5,5,4,4,5,5,4,5,5,Terrier Dogs,26.67,6.8,15
Basset Hound,"The Basset Hound dog breed was bred for hunting small game such as rabbits and is still used for this purpose in some parts of the United States. When they’re not on the trail of a bunny, they’re laid-back family friends who love kids . Although they’re purebred dogs, you may find Bassets in shelters or in the care of rescue groups. If this is the breed for you, opt to adopt if possible! Adaptable, affectionate, and relaxed, these dogs will even appeal to novice pet parents who are new to the dog world. You will, however, need to commit to at least moderate exercise and feed your pup an appropriate diet, as their easygoing demeanor could lead to weight gain and the health issues that can come with. If you can keep your Basset active, in spite of how much they may protest, you’ll have a loving companion who will stick around for many years to come. DogTime recommends this dog bed to give a good night’s sleep to your medium-sized Basset Hound. You should also pick up this squeaker rope toy to help keep your low energy pup active!",https://cdn2-www.dogtime.com/assets/uploads/2011/01/file_23010_basset-hound-460x290.jpg,5,4,4,3,2,2,3,5,5,5,5,5,4,4,5,1,5,3,4,2,4,3,5,4,5,4,2,2,2,2,2,Hound Dogs,35.56,26.08,11.0
